Book-Title,Book_Image_link,Book_link,Book_Rating,Book_Price
A Study in Scarlet ...,https://books.toscrape.com/media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,Two,£16.73
Poisonous (Max Revere Novels ...,https://books.toscrape.com/media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,Three,£26.80
Murder at the 42nd ...,https://books.toscrape.com/media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,Four,£54.36
Most Wanted,https://books.toscrape.com/media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg,https://books.toscrape.com/catalogue/most-wanted_623/index.html,Three,£35.28
Hide Away (Eve Duncan ...,https://books.toscrape.com/media/cache/57/07/5707c3d5d4fd44d943d51730ba7d429a.jpg,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,One,£11.84
Boar Island (Anna Pigeon ...,https://books.toscrape.com/media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,Three,£59.48
The Widow,https://books.toscrape.com/media/cache/fd/71/fd71fb07247bf911505a351c0670c6dc.jpg,https://books.toscrape.com/catalogue/the-widow_609/index.html,Two,£27.26
Playing with Fire,https://books.toscrape.com/media/cache/90/0b/900bd2e60d56b6480a4e8eb2dddb46d6.jpg,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,Three,£13.71
What Happened on Beale ...,https://books.toscrape.com/media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,Five,£25.37
The Bachelor Girl's Guide ...,https://books.toscrape.com/media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,Five,£52.30
Delivering the Truth (Quaker ...,https://books.toscrape.com/media/cache/57/31/5731a5d46c2c1e88977eb5e6d1337a2e.jpg,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,Four,£20.89
